	Opponent team names	Game date	stadiumID
1	NYY	2016-04-04T13:00:00	['Yankee Stadium', 'New York', 'NY']
2	NYY	2016-04-05T13:05:00	['Yankee Stadium', 'New York', 'NY']
3	NYY	2016-04-06T19:05:00	['Yankee Stadium', 'New York', 'NY']
4	NYY	2016-04-07T16:15:00	['Yankee Stadium', 'New York', 'NY']
5	MIL	2016-04-08T20:10:00	['Miller Park', 'Milwaukee', 'WI']
6	MIL	2016-04-09T19:10:00	['Miller Park', 'Milwaukee', 'WI']
7	MIL	2016-04-10T14:10:00	['Miller Park', 'Milwaukee', 'WI']
8	KC	2016-04-11T20:10:00	['Minute Maid Park', 'Houston', 'TX']
9	KC	2016-04-12T20:10:00	['Minute Maid Park', 'Houston', 'TX']
10	KC	2016-04-13T20:10:00	['Minute Maid Park', 'Houston', 'TX']
11	KC	2016-04-14T20:10:00	['Minute Maid Park', 'Houston', 'TX']
12	DET	2016-04-15T20:10:00	['Minute Maid Park', 'Houston', 'TX']
13	DET	2016-04-16T19:10:00	['Minute Maid Park', 'Houston', 'TX']
14	DET	2016-04-17T14:10:00	['Minute Maid Park', 'Houston', 'TX']
15	TEX	2016-04-19T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
16	TEX	2016-04-20T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
17	TEX	2016-04-21T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
18	BOS	2016-04-22T20:10:00	['Minute Maid Park', 'Houston', 'TX']
19	BOS	2016-04-23T16:05:00	['Minute Maid Park', 'Houston', 'TX']
20	BOS	2016-04-24T20:05:00	['Minute Maid Park', 'Houston', 'TX']
21	SEA	2016-04-25T22:10:00	['Safeco Field', 'Seattle', 'WA']
22	SEA	2016-04-26T22:10:00	['Safeco Field', 'Seattle', 'WA']
23	SEA	2016-04-27T22:10:00	['Safeco Field', 'Seattle', 'WA']
24	OAK	2016-04-29T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
25	OAK	2016-04-30T16:05:00	['O.co Coliseum', 'Oakland', 'CA']
26	OAK	2016-05-01T16:05:00	['O.co Coliseum', 'Oakland', 'CA']
27	MIN	2016-05-02T20:10:00	['Minute Maid Park', 'Houston', 'TX']
28	MIN	2016-05-03T20:10:00	['Minute Maid Park', 'Houston', 'TX']
29	MIN	2016-05-04T20:10:00	['Minute Maid Park', 'Houston', 'TX']
30	SEA	2016-05-05T20:10:00	['Minute Maid Park', 'Houston', 'TX']
31	SEA	2016-05-06T20:10:00	['Minute Maid Park', 'Houston', 'TX']
32	SEA	2016-05-07T19:10:00	['Minute Maid Park', 'Houston', 'TX']
33	SEA	2016-05-08T14:10:00	['Minute Maid Park', 'Houston', 'TX']
34	CLE	2016-05-09T20:10:00	['Minute Maid Park', 'Houston', 'TX']
35	CLE	2016-05-10T20:10:00	['Minute Maid Park', 'Houston', 'TX']
36	CLE	2016-05-11T14:10:00	['Minute Maid Park', 'Houston', 'TX']
37	BOS	2016-05-12T19:10:00	['Fenway Park', 'Boston', 'MA']
38	BOS	2016-05-13T19:10:00	['Fenway Park', 'Boston', 'MA']
39	BOS	2016-05-14T13:05:00	['Fenway Park', 'Boston', 'MA']
40	BOS	2016-05-15T13:35:00	['Fenway Park', 'Boston', 'MA']
41	CHW	2016-05-17T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
42	CHW	2016-05-18T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
43	CHW	2016-05-19T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
44	TEX	2016-05-20T20:10:00	['Minute Maid Park', 'Houston', 'TX']
45	TEX	2016-05-21T19:15:00	['Minute Maid Park', 'Houston', 'TX']
46	TEX	2016-05-22T14:10:00	['Minute Maid Park', 'Houston', 'TX']
47	BAL	2016-05-24T20:10:00	['Minute Maid Park', 'Houston', 'TX']
48	BAL	2016-05-25T20:10:00	['Minute Maid Park', 'Houston', 'TX']
49	BAL	2016-05-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
50	LAA	2016-05-27T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
51	LAA	2016-05-28T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
52	LAA	2016-05-29T15:35:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
53	ARI	2016-05-30T16:10:00	['Chase Field', 'Phoenix', 'AZ']
54	ARI	2016-05-31T15:40:00	['Chase Field', 'Phoenix', 'AZ']
55	ARI	2016-06-01T20:10:00	['Minute Maid Park', 'Houston', 'TX']
56	ARI	2016-06-02T14:10:00	['Minute Maid Park', 'Houston', 'TX']
57	OAK	2016-06-03T20:10:00	['Minute Maid Park', 'Houston', 'TX']
58	OAK	2016-06-04T16:10:00	['Minute Maid Park', 'Houston', 'TX']
59	OAK	2016-06-05T14:10:00	['Minute Maid Park', 'Houston', 'TX']
60	TEX	2016-06-06T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
61	TEX	2016-06-07T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
62	TEX	2016-06-08T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
63	TEX	2016-06-09T14:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
64	TB	2016-06-10T19:10:00	['Tropicana Field', 'St. Petersburg', 'FL']
65	TB	2016-06-11T16:10:00	['Tropicana Field', 'St. Petersburg', 'FL']
66	TB	2016-06-12T13:10:00	['Tropicana Field', 'St. Petersburg', 'FL']
67	STL	2016-06-14T20:15:00	['Busch Stadium', 'St. Louis', 'MO']
68	STL	2016-06-15T19:15:00	['Busch Stadium', 'St. Louis', 'MO']
69	CIN	2016-06-17T20:10:00	['Minute Maid Park', 'Houston', 'TX']
70	CIN	2016-06-18T16:10:00	['Minute Maid Park', 'Houston', 'TX']
71	CIN	2016-06-19T14:10:00	['Minute Maid Park', 'Houston', 'TX']
