	Opponent team names	Game date	stadiumID
1	Yankees	2016-04-04T13:00:00	['Yankee Stadium', 'New York', 'NY']
2	Yankees	2016-04-05T13:05:00	['Yankee Stadium', 'New York', 'NY']
3	Yankees	2016-04-06T19:05:00	['Yankee Stadium', 'New York', 'NY']
4	Yankees	2016-04-07T16:15:00	['Yankee Stadium', 'New York', 'NY']
5	Brewers	2016-04-08T20:10:00	['Miller Park', 'Milwaukee', 'WI']
6	Brewers	2016-04-09T19:10:00	['Miller Park', 'Milwaukee', 'WI']
7	Brewers	2016-04-10T14:10:00	['Miller Park', 'Milwaukee', 'WI']
8	Royals	2016-04-11T20:10:00	['Minute Maid Park', 'Houston', 'TX']
9	Royals	2016-04-12T20:10:00	['Minute Maid Park', 'Houston', 'TX']
10	Royals	2016-04-13T20:10:00	['Minute Maid Park', 'Houston', 'TX']
11	Royals	2016-04-14T20:10:00	['Minute Maid Park', 'Houston', 'TX']
12	Tigers	2016-04-15T20:10:00	['Minute Maid Park', 'Houston', 'TX']
13	Tigers	2016-04-16T19:10:00	['Minute Maid Park', 'Houston', 'TX']
14	Tigers	2016-04-17T14:10:00	['Minute Maid Park', 'Houston', 'TX']
15	Rangers	2016-04-19T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
16	Rangers	2016-04-20T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
17	Rangers	2016-04-21T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
18	Red Sox	2016-04-22T20:10:00	['Minute Maid Park', 'Houston', 'TX']
19	Red Sox	2016-04-23T16:05:00	['Minute Maid Park', 'Houston', 'TX']
20	Red Sox	2016-04-24T20:05:00	['Minute Maid Park', 'Houston', 'TX']
21	Mariners	2016-04-25T22:10:00	['Safeco Field', 'Seattle', 'WA']
22	Mariners	2016-04-26T22:10:00	['Safeco Field', 'Seattle', 'WA']
23	Mariners	2016-04-27T22:10:00	['Safeco Field', 'Seattle', 'WA']
24	Athletics	2016-04-29T22:05:00	['O.co Coliseum', 'Oakland', 'CA']
25	Athletics	2016-04-30T16:05:00	['O.co Coliseum', 'Oakland', 'CA']
26	Athletics	2016-05-01T16:05:00	['O.co Coliseum', 'Oakland', 'CA']
27	Twins	2016-05-02T20:10:00	['Minute Maid Park', 'Houston', 'TX']
28	Twins	2016-05-03T20:10:00	['Minute Maid Park', 'Houston', 'TX']
29	Twins	2016-05-04T20:10:00	['Minute Maid Park', 'Houston', 'TX']
30	Mariners	2016-05-05T20:10:00	['Minute Maid Park', 'Houston', 'TX']
31	Mariners	2016-05-06T20:10:00	['Minute Maid Park', 'Houston', 'TX']
32	Mariners	2016-05-07T19:10:00	['Minute Maid Park', 'Houston', 'TX']
33	Mariners	2016-05-08T14:10:00	['Minute Maid Park', 'Houston', 'TX']
34	Indians	2016-05-09T20:10:00	['Minute Maid Park', 'Houston', 'TX']
35	Indians	2016-05-10T20:10:00	['Minute Maid Park', 'Houston', 'TX']
36	Indians	2016-05-11T14:10:00	['Minute Maid Park', 'Houston', 'TX']
37	Red Sox	2016-05-12T19:10:00	['Fenway Park', 'Boston', 'MA']
38	Red Sox	2016-05-13T19:10:00	['Fenway Park', 'Boston', 'MA']
39	Red Sox	2016-05-14T13:05:00	['Fenway Park', 'Boston', 'MA']
40	Red Sox	2016-05-15T13:35:00	['Fenway Park', 'Boston', 'MA']
