	Player	Pos	AB	AVG
1	 Kratz, E	C	2	1.000
2	 Andujar, M	3B	7	.571
3	 Pineda, M	P	3	.333
4	 Cooper, G	1B	43	.326
5	 Castro, S	2B	443	.300
6	 Torreyes, R	2B	315	.292
7	 Gregorius, D	SS	534	.287
8	 Judge, A	RF	542	.284
9	 Sanchez, G	C	471	.278
10	 Headley, C	3B	512	.273
11	 Choi, J	1B	15	.267
12	 Hicks, A	CF	301	.266
13	 Gardner, B	LF	594	.264
14	 Ellsbury, J	CF	356	.264
15	 Williams, M	RF	16	.250
16	 Frazier, C	LF	134	.231
17	 Holliday, M	DH	373	.231
18	 Austin, T	1B	40	.225
19	 Frazier, T	3B	194	.222
20	 Romine, A	C	229	.218
21	 Carter, C	1B	184	.201
22	 Severino, L	P	5	.200
23	 Bird, G	1B	147	.190
24	 Wade, T	SS	58	.155
25	 Refsnyder, R	1B	37	.135
26	 Kozma, P	SS	9	.111
27	 Garcia, J	P	2	.000
28	 Higashioka, K	C	18	.000
29	 Montgomery, J	P	3	.000
30	 Sabathia, C	P	3	.000
31	 Shreve, C	P	2	.000
32	 Tanaka, M	P	2	.000
33	 Betances, D	P	0	.---
34	 Chapman, A	P	0	.---
35	 Clippard, T	P	0	.---
36	 Fowler, D	CF	0	.---
37	 Green, C	P	0	.---
38	 Holder, J	P	0	.---
39	 Kahnle, T	P	0	.---
40	 Layne, T	P	0	.---
41	 Mitchell, B	P	0	.---
42	 Robertson, D	P	0	.---
43	 Smith, C	P	0	.---
44	 Warren, A	P	0	.---
