	Team	HR
1	Colorado Rockies	32
2	Kansas City Royals	20
3	Detroit Tigers	23
4	Texas Rangers	21
5	New York Yankees	31
6	Arizona Diamondbacks	16
7	Seattle Mariners	27
8	Miami Marlins	18
9	Milwaukee Brewers	27
10	San Francisco Giants	15
11	Cincinnati Reds	25
12	Washington Nationals	24
13	Atlanta Braves	12
14	Minnesota Twins	27
15	Pittsburgh Pirates	14
16	Houston Astros	26
17	Toronto Blue Jays	34
18	Boston Red Sox	16
19	Baltimore Orioles	30
20	Tampa Bay Rays	19
21	St. Louis Cardinals	13
22	Oakland Athletics	17
23	Cleveland Indians	18
24	Los Angeles Dodgers	25
25	Chicago White Sox	13
26	New York Mets	24
27	Los Angeles Angels	33
28	San Diego Padres	21
29	Philadelphia Phillies	8
30	Chicago Cubs	19
